dataset_loan_id,customer_id_hash,status
loan_001,29f7834c007220632caa6ebf042f5669cb1ce7cb9538edaea85bf1e2cf18860d,matched_format_only
loan_002,a497baa84c1856224c6585ef54a2a51e915066449a6f91fe9756292880eeb16a,matched_format_only
loan_003,3d84a8fdf3089439635f359d6a8aacfee62019a6ed7831d05f9e4ab3153f3986,matched_format_only
loan_004,5eacc95a1a0683e1d157ee69dbec3077e2047fe5e26898f802d5162049f7bbc7,matched_format_only
loan_005,f697d943bf13db68070e6df84b8fd19d24f332a3a8b6bde75467f5d2c81cfa2c,matched_format_only
loan_006,b6c526b7d887e6e7876e3b1be9d7453cb9a95c810b28a8c18a05e9d96dc4b57f,matched_format_only
loan_007,e8ebc447b09b765d1d7b1a333153b82617bc678a21524b3a5d056fd82bc19880,matched
loan_008,dcba35a29ef7256c3c5779fe213be248070801fde16cea69acb377bbcbaf4782,matched_format_only
loan_009,a4bf3f901b79bf0a77a4a51a093e10bd1cb986c67d80dd7be466c8158c1f1034,matched_format_only
loan_010,b7068eb8000673f324a096edbcc588b87d9bd330d6618ba6decbfe97b6ce71c3,matched_format_only
loan_011,16a520f7e0f76fa4c8a4b6685cdd6db63d638f881ab5453b8b9ba2bbaa1fa691,matched_format_only
loan_012,02d0606a5b11596ce71324a9cdb134591424c933c69c10c980515eeb80018bd1,matched_format_only
loan_013,9701f8b606b1f152a629335e4481e7d7f676da2f7d59e7f08fcc39b4c6abb6b2,matched_format_only
loan_014,9291cb2e80e05443c364aa58f697f14842af5a4460f3337b9214b8aad0676352,matched
loan_015,969809af029a976dbf3e812c81facd4f3434db0c310b459813d527a91457986a,matched
loan_016,79d3e33a18205f3a822bfa5653d6f932342fd4cb30d5190111b20635f85b9319,matched_format_only
loan_017,daeb2f078bedfd64d6fdeaad879b1b1e893782e9e77f5945fc62fc4248150b3a,matched_format_only
loan_018,2a773afa906b955a74422c2171e79f32292a540ec94a8e5ee206c3447a359e80,matched
loan_019,964a3073f6dbb99f579d4ff60088eb534946146b2f33100fea5afe40f96dad4b,matched_format_only
loan_020,a7847cf427f3f2214f6e2866d5f711042c950a5583b6ad8ae4a4cc7ee580cd8f,matched_format_only
loan_021,611456b531a5b5d070f4a579138324eb041221f35cc0d1accf6c2e6801d98ce4,matched
loan_022,e3c44dd66caf9d0344ac4ad6f6d7e364ce2dc6fab931b2c2af3b3754d3c272a6,matched_format_only
loan_023,82e132e41e8d6eb2b15834497d215ce7b068553e6a47231fa2bc5024bb2641e8,matched_format_only
loan_024,875862d9c048646f8fe3834c7f2a7fa4b2e7e7b4f3ff060a84959b85b2945c0a,matched_format_only
loan_025,f027bfcfa67344439b791f2318ae649f876cd3adfe47bcc36886f3566f32e735,matched_format_only
loan_026,8c5d72ba717d3433bd0fe59c3de13f15a5df8d4337660785ec2f4565909d180e,matched_format_only
loan_027,ae3e92d0947e6bfb9d61a76123173bd18aab50d0d257869c8f681cfba0131fb4,matched_format_only
loan_028,07c56d43e9708fcb06575e7a2dc069fd2fd0c915111850565a0f75731555eea5,matched_format_only
loan_029,927b20e7518c328fcebeb4ca0587371d0438a0fae471daa1b7549b17142f48a1,matched_format_only
loan_030,056a8a5361574487e343479e3950d69278f8bf6499e4eee014cbe8e648f81511,matched_format_only
loan_031,08a2c80292ff668e12c25d0b742a35b6878994a07e4428546782c281e793419d,matched_format_only
loan_032,afe5b987a4782c8d669ec9b1524fbeb0c845645a75d2826b8ce1d518adca7672,matched
loan_033,55214afa8f17dbabdb29341617732dd615ee30296cd29406b71e5a4ec36d802e,matched_format_only
loan_034,96c01edd5930bf874125aa266faca721a714bfcfdaf0e508c5f625887c99bbcb,matched_format_only
loan_035,db8891549d0cf3bd7b98a65c7c2c00725900ad442b6eb8aae18d693854f67271,matched_format_only
loan_036,01c3b1c64c4699f280def27f3ae8b965334ef411fcd5bca4982ebf0ba28eee97,matched_format_only
loan_037,b301438d15281b128fe8121f98443721ca028f233d90bf33fd9f042b5add8e1d,matched_format_only
loan_038,cb734d72f33c998315b8d2ac3ee4bcc8b022b36c22ba898ca80ef40af9512d21,matched
loan_039,d752e2dde04a74524242e2be6eff47e1c84450cf0cf8616446e0dfbc2ee9aa98,matched
loan_040,884b6425dde2cb677a5027535862564c87a23e92b0ca2b2322a472fa1f76adbc,matched_format_only
loan_041,b99f0d2aecabe160017ffd79252e09e209ec35c2e4b8d50b1ac538c86890f3e5,matched_format_only
loan_042,3043cb8da8d25a8f0325fea218b744b728b567c8bae67ad3971804aa93a6c6cb,matched_format_only
loan_043,c751eddafd4d00b0dcc09b29d21a19dd664c255d3e4b3655742455abf163b774,matched_format_only
loan_044,f29d7b68a54de0e9cc0d05a8193431348d35b6a3ef0272f29a86da29d57df5ed,matched_format_only
loan_045,c80ff73151f3f06d1e257f4e52588159c21a11c267a8950cc7102e578efb4b64,matched_format_only
loan_046,be7504651150a3a7069ddfe6b5d78c0686d0747c1dd3d90dc10821e43695645f,matched
loan_047,1b44fbbefb88503036a65f4233916814539fde6d01b7552d36c36f0960f52e7c,matched_format_only
loan_048,39eb5a6a35c60f482d585422eb45e70451eadbee256c071c4fa3fdad29b5517f,matched_format_only
loan_049,5e2ba0d8cfda93d078248dba2a70ad50b041a2f5961da8abdbcf219fb0ff4fa6,matched_format_only
loan_050,080a9ade60b03f23c5ee00f4eed2277cc3b8607cd1bc0169c5a1e129c2eb6d44,matched_format_only
loan_051,5c66553abba52975505659e0dd09fb30b51bcb37a005c097e5032d3e475b8a24,matched_format_only
loan_052,12a24e1826409273a117fdc9f582063b309fe466d2d1ee181bd1dcdf2348400d,matched_format_only
loan_053,0be223c0fb03534bcb47df67dd861f28625ccc0858daf70953b890ef824396f0,matched
loan_054,e11e6c2a1928f40ea8b20c6c77ba9e79ece2e6bd1957fd87d260233e2bac520d,matched
loan_055,2800eeb22009864b6678ef487549145a3b9281151c47ee77ec6b5f695cb07f79,matched_format_only
loan_056,9cb0b8c5abfa1521184eb9bfbf8a90e70e30cdb76bb34ec8372b59322900e33a,matched_format_only
loan_057,72f8d1326e75d74a814ae7e818e20bf910c4548da25321f85a69eae13359d9d6,matched_format_only
loan_058,f1b66a733678f974f720d271277cb7ac005ff2bf0cfccf9aa50759b97a234c89,matched_format_only
loan_059,7c3e9b9e9e2fd2e43812672cceb12b8392d6c0732d1e056d32c98dea9c87ba2a,matched_format_only
loan_060,f984f1791e368eba74def065fb9afca31cdffc4dfee02cf2665794f19e0a998e,matched_format_only
loan_061,980c90a7bda2d5895a08a6b68098c2a5f565eaa209891d474aa21a604269178a,matched_format_only
loan_062,42bfdf1515f914e9c6521bae0a8e86f0f93e32b15f408808fca951ac06b9cbdf,matched_format_only
loan_063,fefae155128555e194c54ffa30d81566e2033661aeca15ab095d20f2a452c5d9,matched_format_only
loan_064,be24fc86f78af063fe1acf83a42e9cd954ee809e9cd6411ad47104353f213034,matched_format_only
loan_065,095bfb74ceef52776670a9eac2ab3bed47311bb316ea75d15959bf505c4c76a1,matched
loan_066,9ba64175940e58e5696e7c12bceaaf4640b65f18675ff1ebe6920a786c2e9ae2,matched
loan_067,4f0a153bc40585d2097544d9b750761bfe23a1671d4a0b1f91367a5221185e8f,matched_format_only
loan_068,4d1ce5385605383f2fc06543b472ac53625018e75d6037582174b4acda4a9918,matched_format_only
loan_069,12a46b8be99b09440ddb3bd123994f0bde0062ceb2761a4b5aeb7183870776f2,matched_format_only
loan_070,1277e00fd953c94fe22c2fb4a6c4f62c8f33cc041f9b28ff721005cdc84e9ea5,matched_format_only
loan_071,983a437e9c3b6903d53329a9af4d07f7fef24599e340f5429636ae99cb750432,matched_format_only
loan_072,5afafbf69193422a5fd13d9024f551cce72b80e7dc308ebd4148775f85c82507,matched_format_only
loan_073,0ef48d79f068d97afab919814a2a90497e00476e09dd3a9f8a19e5f13f68bb02,matched_format_only
loan_074,b92c70d8b53ef47ba23b38b5b212d14ab04f870ab3bc9e0a87c4459fb105dbf1,matched_format_only
